88c78df665b0c153107cd57db93c0e0bfad5ae64|2025-12-04|feat: Add GCP Logs stdout logger for structured JSON logging
a2534fd8c6c77db6952b16522c3e2520a9010aea|2025-12-04|fix: python import based fallback
46246fe23672bad4bbf24ecd0665df21af8d091a|2025-12-05|feature: added pre request fallback for non-vision models to vision models
150ce42ad5f8b23576dda48f3202773e19eab1ef|2025-12-05|testing fixes
3e503c7347c3da574b9aac1b6e2a27fbd2912e2a|2025-12-05|feature: user budget restriction
7c2f182ac152fe6f8aac4affb3350b531a72880c|2025-12-09|patch litellm for cost restriction based on user spend and max budget
e7135406e7c063fa2626282ef46668740ca51ebc|2025-12-11|removing debug print logs for cost restriction
03a998194b463c0ebbf91b64a58902b8bfb186d0|2025-12-15|vision support fix
85632e1cae06bdef15090180168c5c64e7d7143c|2025-12-15|added gcp logging support to service logger, updated_at for reset budget job
46124d889f4ddfdd5674d7cd4e034f5016090640|2025-12-15|removed a debug log line
aa6a51362760478587f1ee57338759c855a69bc2|2025-12-22|feat: Added custom model contexts
c3d7591b89478ce65cb27b649853fb75d40acd9a|2025-12-22|feat: Added custom model contexts
dbe644577e9758731fd3bed8d442c0d3b27d699a|2025-12-23|feat: added gcs-logging to store all user request and response (#2)
f895a497e276858ec03d801145a19e19f4841395|2025-12-24|Modified custom model contexts- added public names (#6)
b92865143dd91377fed887db56f574d5891a6737|2025-12-30|directory structure change for gcs logger (#8)
614fa3fb6c3b60523be311dce0079e5d1d5926af|2025-12-31|directory structure change for gcs logger (#9)
23447f1e0ad32126fcc1afd86c2fc20631eed770|2025-12-31|removed fuzzy check in vision model
5e434b7ef112c8b64b9866c715f250f05c75b176|2026-01-05|bq fixes (#11)
3be74052a5392635eeefd8ae26c8d1cf4bd7a7d0|2026-01-05|fix: fixed the issue in anthropic compatible logs (#10)
479cf2f55782eec0a68f9a11a0d217edb59dceb9|2026-01-07|jenkins file
4a484f03780df7818ab5f395f9a7bd87e7b41ba8|2026-01-07|Fix/least busy routing (#16)
15c5b875d244de36a6db0ab4862b02a44acf6e85|2026-01-09|relying on redis instead of inmem for counter for load balancing (#19)
b418c68ed108af5f95359f806c4a44d81e2ab486|2026-01-09|fix: use redis_only for usage-based-routing-v2 to fix request distribution (#23)
9732afb33b937c35e8ebe936efb6287540eb52ba|2026-01-12|Add Log client headers (#17)
a834c424aa34786923a650efd9713548fa1f5b48|2026-01-16|added active user analytics and user leaderboard for hosted vllm (#26)
e72f67177b7ad71955b8b0ec649871ecf20f5547|2026-01-20|fix: add VLLM context window error pattern for fallback triggering (#28)
066d5d802609547447fd6c32ffa9e20489507955|2026-01-20|Litellm Logs Pagination Fix (#29)
eea3e7c959cea594753b6d373ab58d0a9e1cbe32|2026-01-21|Analytics/active user analytics (#30)
108102c4d0033321522da583825238367fe45650|2026-01-22|fix: Use leaderboard total_count for Today's Active Users card (#32)
2b0d85a33429f1655e2e926cad5f3380342740d9|2026-01-27|feat: add user-count(email) based DAU/WAU/MAU analytics endpoints and… (#35)
80e242236e7fae8627db1e7f7459b8814359c940|2026-01-27|build fix (#36)
8172eb186ddacac0ef2a93b0cb0894ecd4d51693|2026-01-28|logging-full-req-in-error-logs (#38)
de3e3148ed23b0db1d368c2583a571ba428531b1|2026-01-29|added team based filtering in user activity and some ui fixes (#40)
f20220650378739fa5a44f73f893196d5bb26973|2026-01-29|dropping prompt-caching-scope-* header for v1/messages for claude code compatibility (#41)
9cc84c4a1f2b67c00a145d37051e1c67a5bb5e00|2026-01-29|Dropping prompt caching scope header (#42)
df60009c8ec7e52ddbfde4907cc858e91bb0f4f8|2026-01-29|Dropping prompt caching scope header (#43)
01148e70abe407ae62ce324737ccab0a6f5168dc|2026-01-29|Dropping prompt caching scope header (#44)
f7f8141eab59d70d8eaf2454ee8106115d6fbdc9|2026-02-02|temp logging change (#46)
0930b8d771aa0a44cd6aaf0cbccdd6a45a264cbb|2026-02-03|Revert "temp logging change (#46)" (#48)
693110529c7bc14af40908e757f2fb878239e484|2026-02-03|bug: fix null email issue (#49)
bcc40ce56382d2c3d44649035d3e40de70a9dd97|2026-02-03|feat: release/prod aggregated dashboard for failure logs (#47)
11993b3edc3acab0b6896a947159181806cbd0fe|2026-02-06|disabling gcs logging in the case when x-litellm-disable-logging: true header is present (#54)
78b5c0453feaba0e0234e3d5300d6584137c7519|2026-02-06|feat(spend logs analytics section): analytics toggle, analytics logs, time range selection on analytics (#53)
4d50cd56745a7304e1a40caf8453371d68fc96b4|2026-02-06|fix: fixing strict type checks for chartOptions in error stats table compoent (#55)
a85db92ca07fc2140d0a4ef65bf085f468ec0de0|2026-02-13|added sandbox branch for gcr push (#61)
22b9f4413875181455f172f4c11534c306e68882|2026-02-25|modified simple shuffle routing logic (#74)
1a635e20e4d18ddf47c7108abc55bc17d9853ee2|2026-02-25|Hotfix/reasoning field prod (#80)
9eaa3ea353c7045a3a1997260a38691de1968352|2026-02-25|added bulk cost update endpoint  (#75) (#79)
faf40db2dbd546c10cb0b56a4371e912674d1b31|2026-03-02|build file changes for trunk based dev (#85)
5d4a66f1425c16326cbdc7189de415430e671817|2026-03-02|fix: adding back failure logs aggregation changes + local environment fixes (#87)
61fb9f323f050e89feb5b473d2802ca14114ad7f|2026-03-05|remove duplicate code (#89)
b95bd31c7664b9338e7195d1c0c188ed5ccc7d00|2026-03-13|fix: multi instance max parallel requests rate limit fixes (#101)
f8709b0065b5decd756f6d79f2e216bcc2a5e343|2026-03-13|Message filter (#100)
e6e49c50692b89fb3fe71a877cb26489e178fc43|2026-03-13|Feature/sticky least busy (#96)
09d73a2528c283ca3cf5055d502adc231bb734a5|2026-03-16|implemented new team update endpoint as the old one has premium featu… (#97)
3727eebad7e230b4b4cdfb005da2cee1a066b215|2026-03-16|performance fixes for rpm and concurrency limit: avoiding addtional writes for increments and decrements on Redis counters (#102)
ef5a4e8ccf73e70cfb8022d0b5477aeff9ce5f10|2026-03-17|metadata shown for failure logs (#104)
f59a60747edaedaa70e86a797f4b80183ad9266d|2026-03-17|models endpoints budget bypass fix (#106)
2608c008fafd180610ad97556e057bf361004cf4|2026-03-17|Feature/sticky busy redis (#105)
85019edec0897d658534daf2559e4297812868c7|2026-03-17|Fix/failure log (#107)
c1fefb109070375a10f5e3a4e93a28443e51a3c3|2026-03-17|fix: adding models filter dropdown and make model filtered logs accessible to viewer (#103)
7d332c090f52441f0480d7e7c3cb850981d1c62a|2026-03-17|fixes (#108)
2277c4aa4b8f06d8a60ff0326323184e8c554614|2026-03-17|fix: saving state of filter component before remounting (#109)
b725ac35349b93b5d54977df82b2d4ded70d369e|2026-03-18|Routing issue fixes and Prometheus metric for routing (#110)
20caa0aebb796d32efacb96bbc06903bd38a4fd3|2026-03-20|feat: schema migration changes for aggregated spend logs table (#111)
ab851b9c2b81d79d7df6e2838b00afe5087028aa|2026-03-25|Fix/routing issues (#112)
5a8826ee90d357b7006d0354dc8fefd0979446a7|2026-03-25|bumping up prisma version (#113)
596a3a3a5a31f8e1de0644bc1a5069177ecd0c03|2026-03-27|Revert "feat: schema migration changes for aggregated spend logs table" (#115)
9cdf6d7092336fc991d48c883c4efb411159c986|2026-03-27|fix: alternate approach for handling rate limit counter leak issues (#114)
f3136f3eac20dfdbad20eb8fb6147f28eac55be8|2026-04-01|feat: add metrics and UI changes for verifying if redis counter for concurrency requests tracking is getting updated properly (#116)
2973257d2d581a2da6d7b9bd93704d25554a2258|2026-04-01|Fix/oomkills (#117)
4a744f214437d11847541cf14448697fd5ed7f0b|2026-04-02|fix: adding permission to make concurrent requests tab viewable for admin viewer (#118)
29495ff0a60b98c4eeade0bf5c99bf277c919199|2026-04-07|fix: adding log for metric emission in mpr rate limit flow (#121)
d02b0140f1191b55f4d1262026335aa0e04c832a|2026-04-07|Fix/big queries (#122)
338dcd82f210132cc802eb374c3040a2a8f6753d|2026-04-07|removed debug print logs (#123)
61dda93e05ac408553f37f0f95d5568ede45d897|2026-04-13|fix: redis counter drift problem (#125)
a6698e18dbc1d12df1558420f46faf009871ffd2|2026-04-14|fix: fixing concurrent requests logs issues and addtional filter options (#126)
451349a62c304547fca444c7abc7cf3273a938af|2026-04-15|fix: gcp logs client initialization issue (#127)
8bf7d3bb64384d438910dca0a24420d4b9b169cf|2026-04-16|feat: allow specific non-admin users to call /user/delete via USER_DE… (#128)
7519a5cc19411d4ab7527c2bca42e4aa9b9a8bd9|2026-04-17|Playground integration (#124)
31e8feccd5b4ddd6fc311dc4a3c07a552de89e86|2026-04-19|XYNE-123: overlay local litellm-proxy-extras over PyPI wheel (#130)
b4000796ea318388e9223a47d56b1c062f68bf9a|2026-04-19|XYNE-123: build litellm-proxy-extras from source in GCR images (#131)
7d639c60f73b7f1c649719710612eee92508a1ee|2026-04-20|XYNE-123: switch playground booking API to seat-selection schema (#132)
22de91451089f4bddf690e248adc4271452b85a7|2026-04-20|XYNE-123: let users retry failed/cancelled playground bookings (#133)
730dddc2dd27f576b04283957c48c40c38e57312|2026-04-20|Fix/content block issue (#134)
805f26bc72e8851e2f16f7c23b70131d5bd891b8|2026-04-20|nit: adding logs for gcp logger client initialization (#135)
a41df42b80fdedf30e67f61f1b31c41afa6120ac|2026-04-21|feat: add lightweight audit logging for user/key/team/model operations (#129)
